0,0
0.001,0.0055
0.0025,0.01067
0.005,0.01595
0.01,0.02385
0.025,0.04051
0.05,0.06011
0.1,0.08787
0.15,0.10791
0.2,0.12264
0.25,0.1327
0.3,0.13751
0.35,0.1375
0.4,0.13434
0.45,0.1292
0.5,0.12258
0.55,0.11484
0.6,0.10621
0.65,0.09684
0.7,0.08681
0.75,0.07615
0.8,0.0648
0.85,0.05251
0.9,0.03851
0.95,0.02033
0.975,0.00973
0.985,0.00555
0.995,0.00169
1,0
1,-0.01286
0.995,-0.01122
0.985,-0.00839
0.975,-0.00623
0.95,-0.00242
0.9,-0.00018
0.85,-0.00181
0.8,-0.00639
0.75,-0.01336
0.7,-0.02238
0.65,-0.03522
0.6,-0.04944
0.55,-0.06467
0.5,-0.08048
0.45,-0.09632
0.4,-0.11136
0.35,-0.12436
0.3,-0.13289
0.25,-0.13318
0.2,-0.12302
0.15,-0.10621
0.1,-0.08423
0.05,-0.05602
0.025,-0.03722
0.01,-0.02157
0.005,-0.01431
0.0025,-0.00954
0.001,-0.0048
0,0
