0,0
0.001,0.0049
0.0025,0.00958
0.005,0.01432
0.01,0.02144
0.025,0.03648
0.05,0.05389
0.1,0.07785
0.15,0.09478
0.2,0.10751
0.25,0.11664
0.3,0.12178
0.35,0.12288
0.4,0.12096
0.45,0.11701
0.5,0.11158
0.55,0.10503
0.6,0.09756
0.65,0.08934
0.7,0.0804
0.75,0.07081
0.8,0.06048
0.85,0.04924
0.9,0.03644
0.95,0.01966
0.975,0.00949
0.985,0.00545
0.995,0.00163
1,0
1,-0.01
0.995,-0.00862
0.985,-0.00614
0.975,-0.00388
0.95,0.00097
0.9,0.00718
0.85,0.00939
0.8,0.00843
0.75,0.00501
0.7,-0.00044
0.65,-0.00936
0.6,-0.01983
0.55,-0.03166
0.5,-0.04448
0.45,-0.0579
0.4,-0.07101
0.35,-0.08209
0.3,-0.08865
0.25,-0.0877
0.2,-0.07898
0.15,-0.06695
0.1,-0.05421
0.05,-0.03764
0.025,-0.02566
0.01,-0.01527
0.005,-0.01028
0.0025,-0.00699
0.001,-0.0036
0,0
